lakecode,lakename,lakeorriver,continent,country,state,latitude,longitude,elevation,mean_depth,max_depth,surface_area,shoreline,largest_city_population,power_plant_discharge,inlet_streams,area_drained,landuse_code,conductivity_us,secchi_depth,contributor,filename,initials,lat_decimal,lon_decimal,median_depth,comments
GAH20,RICHARDSON LAKE,L,N,UNITED STATES,ME,44 51 23,70 51 56,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,44.86,-70.87,-999,-999
GAH21,SEBAGO LAKE,L,N,UNITED STATES,ME,43 52 15,70 34 01,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,43.87,-70.57,-999,-999
GAH22,SEBEC LAKE,L,N,UNITED STATES,ME,45 16 58,69 16 45,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,45.29,-69.28,-999,-999
GAH23,SQUA PAN LAKE,L,N,UNITED STATES,ME,46 33 21,68 18 24,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,46.56,-68.31,-999,-999
GAH24,SUNAPEE LAKE,L,N,UNITED STATES,NH,43 23 45,72 03 11,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,43.39,-72.05,-999,-999
GAH25,SWAN LAKE,L,N,UNITED STATES,ME,44 32 47,68 59 38,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,44.54,-68.99,-999,-999
GAH26,THOMPSON LAKE,L,N,UNITED STATES,ME,44 03 58,70 29 07,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,44.07,-70.48,-999,-999
GAH27,UMBAGOG LAKE,L,N,UNITED STATES,NH,44 48 05,71 01 42,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,44.8,-71.03,-999,-999
GAH28,WEST GRAND LAKE,L,N,UNITED STATES,ME,45 12 56,67 48 52,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,45.22,-67.81,-999,-999
GAH29,LAKE WINNIPESAUKEE,L,N,UNITED STATES,ME,43 35 56,71 19 21,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,43.6,-71.33,-999,-999
