station,lake,long,lat,altitude
PJD17,LAKE OF TWO RIVERS,-78.47955137,45.57884931,392.9
PJD18,BIG HAWK,-78.74109599,45.15849457,359.7
PJD19,LONG POND,-76.54957869,44.62886243,178
PJD2,BOSHKUNG,-78.75,45.05,307.5
PJD20,MARBLE,-76.88,45.24,301
PJD21,MUSKOKA,-79.42343767,45.01072511,223.5
PJD22,OBLONG,-78.4333,45.1833,360.3
PJD23,OPEONGO,-78.39051161,45.69468973,403.3
PJD24,PERCY,-78.34962255,45.2074198,388.6
PJD25,ROSSEAU,-79.73049431,45.18012548,225
PJD26,SCUGOG,-78.82627069,44.18883575,249.9
PJD27,SHABOMEKA,-77.13414811,44.8937185,273
PJD28,SIMCOE,-79.6833,44.3833,256
PJD29,SMOKE,-78.68207407,45.51792539,421
PJD3,CANOE,-78.71889901,45.55404319,420.3
PJD30,ST NORA,-78.8334077,45.15506612,332.8
PJD31,STONEY,-78.1,46.17,279
PJD32,TEMISKAMING,-79.4056019,47.06136196,174
PJD33,TWELVE MILE,-78.7167,45.0167,307.5
PJD4,CHEMONG,-78.40556979,44.45919467,246
PJD5,CHESLEY,-81.22296301,44.55413595,224
PJD6,COUCHICHING,-79.3684,44.6683,218.8
PJD7,DRC LAKES,-78.93,45.22,316
PJD8,EAGLE,-78.5167,45.1333,348.1
PJD9,GOLD,-78.28147952,44.72880452,295
RA1,LAKE MUEGGELSEE,13.65000026,52.43696615,32.37
RA2,NEHMITZSEE,12.98446345,53.13455519,59
RA3,STECHLINSEE,13.03,53.17,65
RAA1,LAKE EIRIE,-78.9,42.88,173.74
RAA2,LAKE SUPERIOR,-90.88,46.67,183
RAA3,LAKE MICHIGAN,-85.61666667,44.75,176.45
RAA4,LAKE MICHIGAN,-87.64,45,176.45
RAA5,LAKE ONTARIO,-79.45,43.65,99
RB13,KEITELE SE,26.4,62.76666667,99
RB14,KEITELE SW,25.83333333,62.56666667,99
RB18,VATIANJARVI,25.89999,62.48,83
RB19,LAKE KOIVUJARVI,26.26149,63.50447,131
RB2,RUKAVESI S,30.23333333,62.9,94
RB20,KOSKIVESI W,26.71666667,62.96666667,98
RB22,NIINIVESI W,26.75474,62.78378,98
RB23,KIESIMA W,26.51666667,62.76666667,101
RB24,POHJOIS KONNEVESI W,26.4,62.76666667,95
RB25,KONNEVESI W,26.35,62.61666667,95
RB26,VANGINVESI E,26.23333333,62.56666667,90
RB27,KYNSIVESI W,26.25936,62.40342,88
RB28,KUUHANKAVESI S,26.39597084,62.35119475,99
RB3,HOYTIAINEN S,29.69260778,62.869664,87
RB30,PETAJAVESI N,25.16666667,62.25,111
RB31,PETTAMA,25.16666667,62.06666667,103
RB32,ISOJARVI W,25.03625528,61.70834175,119
RB34,JOUTSJARVI,25.85,61.51666667,85
RB38,KYYVESI E,27.08213804,62.00121175,101
RB39,PYHAVESI E,26.92726149,61.40828075,82
RB4,ORIVESI SE,29.88333333,62.1,75
RB40,VUOHIJARVI E,26.79141077,61.2861995,77
RB42,LOHJANJARVI E,23.96158096,60.25189425,32
RB43,LANGELMAVESI,24.15,61.43333333,84
RB45,JALANTIJARVI E,23.74204762,61.163927,83
RB47,PIHLAJAVESI SE,24.24981593,62.35383625,139
RB48,SINERVAJARVI NW,24.812761,62.39425525,139
RB49,UKONSELKA E,24.43942349,62.1418225,106
RB5,MAANINKAJARVI NE,27.23333333,63.21666667,82
RB50,PALOSELKA E,24.46666667,62.01666667,96
RB51,LEPPASJARVI E,23.07758628,61.9178735,101
RB52,JAMIJARVI E,22.65952876,61.8063935,101
RB53,KYROSJARVI W,23.09309838,61.78630625,83
RB56,EVIJARVI S,23.47519748,63.41310875,61
RB57,AITTOSELKA E,29.00138142,64.19231625,160
RB58,NUASJARVI N,28.08605,64.15193,138
RB60,PORTIMOJARVI W,23.93137349,66.37136925,63
RB61,IIJARVI SW,27.61666667,69.38333333,193
RB62,INARI,28.4,69.05,119
RB7,OSMAJARVI N,27.7416392,62.4183645,79
RB8,PIHLAJAVESI N,28.83333333,61.86666667,76
RB9,SAIMAA S,28.26666667,61.08333333,76
RH1,RANGELEY LAKE,-70.69902668,44.94957973,463
SCH1,RAWSON LAKE,-93.71666667,49.65,304
TB01,LAKE ERKEN,18.56582286,59.844725,11.1
USGS1,LAKE CHAMPLAIN,-73.33,44.5,29
VSV1,LAKE BAIKAL,107.5,53.5,511
VSV10,LAKE GUSINOYE,106.4234276,51.19970405,550
VSV11,LAKE JACK LONDON,149.5468745,62.07291667,802
VSV12,LAKE KHANTAYSKOYE,91.68958479,68.36675008,73
VSV13,LAKE KUBENSKOYE (PESKI),39.53982,59.53351,105
VSV14,LAKE LATCHA,38.74854466,61.32708333,118
VSV15,LAKE B.LEPRINDO,117.50898,56.61743,984
VSV16,LAKE M.DARPIR,147.9854808,64.14373711,819
VSV17,LAKE NICHATKA,117.53266,57.62684,560
VSV18,LAKE NYAKSHINGDA,93.53625309,67.00499268,272
VSV19,LAKE SENEZHSKOYE,37.00696144,56.21050212,190
VSV2,LAKE IMANDRA,33.11725251,67.72290175,127
VSV20,LAKE SHAKSHINSKOYE,112.7353799,52.15625,963
VSV21,LAKE SHIRA,90.20326894,54.50861111,390
VSV22,LAKE SOSNOVOYE,111.5287941,52.55646905,950
VSV23,LAKE SUUREEN-KUEL,130.41,65,731
VSV24,LAKE TAYMYR,101.276011,74.52404446,6
VSV25,LAKE TCHALPAN,91.3,53.2,296
VSV26,LAKE TCHUKCHAGIRSKOYE,130.36,52,70
VSV27,LAKE ULAKHAN-KUEL,120,60.4,78
VSV29,LAKE TELETSKOYE,87.66884552,51.57168172,435
VSV3,LAKE ARAKHLEY,112.8778394,52.20694444,967
VSV30,LAKE BOLSHIE CHANY,60.54,55.33,242
VSV31,LAKE KULUNDINSKOYE,79.57522114,52.97972222,95
VSV32,LAKE UBINSKOYE,80.04726506,55.47094699,120
VSV33,LAKE SARTLAN,78.5976824,54.98043958,110
VSV34,LAKE UVILDY,60.48999079,55.53485569,275
VSV35,LAKE ARGAYASH,60.91717229,55.48958876,243
VSV36,LAKE LADOGA,31.6291089,60.84168769,5
VSV37,LAKE ONEGA,35.25640261,61.88541667,33
VSV38,LAKE ILMEN,31.30041423,58.27319716,18
VSV39,LAKE TCHUDSKO-PSKOVSKOYE,27.48355062,58.42791667,30
VSV4,LAKE AZAS,96.50717836,52.39135159,941
VSV40,LAKE SYABERO,29.15864,58.81276,45
VSV41,LAKE SYAMOZERO,33.18325069,61.94791531,108
VSV42,LAKE LOVOZERO,35.18198326,67.86366916,153
VSV43,LAKE UMBOZERO,34.4052988,67.71041667,152
VSV44,LAKE ASLI-KUL,54.57873,54.31316,205
VSV46,LAKE ONEGA,35.45,61.3,107
VSV5,LAKE BAIKAL,104.25,52.8,635
VSV6,LAKE BARUN-TOREY,115.8089656,50.06971951,598
VSV7,LAKE BAUNT,113.0076726,55.20597222,1065
VSV8,LAKE BAIKAL,109.47,53,906
VSV9,LAKE EMANDGA,135.737,65.26671,672
WPS01,BLACK OTTER LAKE,-88.637,44.333,240.18
WPS02,CLEAR LAKE,-88.97973798,42.7996525,250
WPS03,LAKE KEGONSA,-89.25,42.97,256
WPS04,WEST BAY LAKE,-89.43,46.2,512
WRS190,ADIES LAKE,-57.43,49.17,34
WRS191,AISHIHIK LAKE,-137.1031904,61.40847166,936
WRS192,ALLEN LAKE,-130,58.41666667,231
WRS193,ALLUMETTE LAKE,-77.30101234,45.97959088,104
WRS194,ALTA LAKE,-122.9808607,50.11350083,641
WRS195,ANAHIM LAKE,-125.34947,52.50532,1083
WRS196,ATHAPAPUSKOW LAKE,-101.6544849,54.62191537,290
WRS197,ATLIN LAKE,-135.07,60.72,669
WRS198,ATLIN LAKE,-135.07,60.72,629
WRS199,ATTAWAPISKAT LAKE,-87.88040441,52.24489102,240
WRS200,ATTILA LAKE,-77.7,53.63,105
WRS201,BACK BAY,-114.45,62.47,260
WRS202,BAGNELL LAKE,-85.67,68.3,337
WRS203,BAKER LAKE,-95.16335496,64.12976834,2
WRS204,BALLENDEN LAKE,-88.62221565,68.5334933,129
WRS205,BARROW LAKE,-89.53179451,68.41002016,81
WRS206,KENOGAMISIS LAKE,-86.86118,49.70625,313
WRS207,BASS LAKE,-79.50919142,44.60202274,249
WRS208,BAY OF QUINTE,-77.53,44.12,84
WRS209,BEAR LAKE,-118.93826,55.22172,660
WRS210,LAKE HURON,-79.87,44.85,216
WRS211,BEAVERLODGE LAKE,-108.5557784,59.51210756,240
WRS212,BIG QUILL LAKE,-104.3614131,51.88152967,510
WRS213,BIG TROUT LAKE,-90.06008218,53.78206909,206
WRS214,BIGWOOD LAKE,-91.89341213,50.11316662,372
WRS215,BROCHET BAY OF REINDEER LAKE,-101.68,57.88,337
WRS216,BURNS LAKE,-125.7297347,54.20496152,697
WRS217,LAC CACHE,-74.41248,49.83469,417
WRS218,CANOE LAKE,-108.26149,55.1545,451
WRS219,CARMI LAKE,-119.08,49.5,1230
WRS220,CHARLIE LAKE,-120.95487,56.27729,701
WRS221,CHURCHILL LAKE,-108.3329938,55.97592039,415
WRS222,CLEARWATER LAKE,-101.0797116,54.06372583,257
WRS223,COLD LAKE,-110.0722695,54.53806804,531
WRS224,LAKE HURON,-81.1,44.75,220
WRS225,CONTWOYTO LAKE,-110.5832805,65.59645778,435
WRS226,CRANBERRY LAKES,-101.1162302,54.56788482,294
WRS227,CREE LAKE - CABLE BAY,-107.13,57.35,484
WRS228,CROOKED LAKE,-126.4288144,59.9121886,556
WRS229,DAUPHIN LAKE,-99.77563912,51.28021069,258
WRS230,DEADMANS POND,-54.53754457,48.92665742,118
WRS231,DEASE LAKE,-131,58.42,1203
WRS232,DEER LAKE,-57.57219811,49.09380279,5
WRS233,DEWAR LAKES,-71.17,68.65,451
WRS234,DIEFENBAKER LAKE,-106.9076225,50.95254327,551
WRS235,DOG POND LAKE,-90.72,63.33,1
WRS236,EKAPO LAKE,-102.5724065,50.32302423,587
WRS237,ELDON LAKE,-101.0137042,56.80917447,327
WRS238,ENNADAI LAKE,-101.3829192,60.99052411,303
WRS239,ETTLE DAM RESERVIOR,-94.7,56.35,79
WRS240,FARNSWORTH LAKE,-94.05643858,58.68908071,13
WRS241,FENOR LAKE,-79.02472401,69.0869227,27
WRS242,FORT WILLIAM HARBOUR,-89.32,48.37,202
WRS243,FRAME LAKE,-114.3900686,62.45389539,186
WRS244,FRESH WATER LAKE,-118.5,72.77,1
WRS245,LAKE HURON,-79.87,44.85,216
WRS246,GILMAN LAKE,-74.34697,49.9114,394
WRS247,GLENMORE RESERVOIR   ELBOW RIVER,-114.02,51.12,1076
WRS248,GOLDEN LAKE,-77.35970573,45.57614346,167
WRS249,GOSHEN LAKE,-61.97722536,45.37677712,75
WRS250,GRACE LAKE,-101.1653297,53.8251327,257
WRS251,GRAHAM LAKE,-90.56663095,49.25875425,484
WRS252,GRAND LAKE,-60.12862,46.16428,27
WRS253,GREAT BEAR LAKE,-120.3774395,65.91122797,145
WRS254,GREAT SLAVE LAKE,-110.73,62.4,156
WRS255,GREAT SLAVE LAKE,-111.17,62.72,156
WRS256,GREAT SLAVE LAKE,-110.17,62.72,306
WRS257,GREAT SLAVE LAKE,-109.17,62.72,157
WRS258,GREAT SLAVE LAKE,-113.2586476,61.88364839,148
WRS259,GULL LAKE,-79.34731494,44.911702150000004,249
WRS260,LAKE ONTARIO,-79.93,43.17,228
WRS261,HEMING LAKE,-101.1251688,54.8897899,330
WRS262,HOURGLASS LAKE,-124.0769332,52.12179762,903
WRS263,INDIAN HOUSE LAKE,-64.73684169,56.09845063,298
WRS264,LAKE EIRIE,-80.33,42.87,229
WRS265,ISLAND LAKE,-94.15890446,53.84896408,225
WRS266,JACKFISH LAKE,-114.2373152,53.48548564,729
WRS267,KALAMALKA LAKE,-119.2833333,50.23333333,395
WRS268,KEJIMKUJIK LAKE,-65.2369548,44.37200053,88
WRS269,KENOGAMISIS LAKE,-86.86118,49.70625,327
WRS270,KLUANE LAKE,-138.7837772,61.31808889,768
WRS271,KNOB LAKE,-66.81666667,54.8,508
WRS272,KOOTENAY LAKE,-116.8865892,49.71459045,530
WRS273,LAC A LA TRUITE,-57.17668557,51.4649692,16
WRS274,LAC AUX BOULEAUX,-57.1769879,51.45371165,19
WRS275,LAC BLOUIN,-77.74608617,48.17561471,291
WRS276,LAC CACHE,-74.41248,49.83469,379
WRS277,LAC DE MONTIGNY,-77.90249535,48.05746514,291
WRS278,LAC DE MORHIBAR,-62.88,51.83,576
WRS279,LAC DES SABLES,-74.30211621,46.04286361,375
WRS280,LAC LA BICHE,-112.0763355,54.86460788,537
WRS281,LAC LA CHESNAYE,-68.18653412,49.3249795,62
WRS282,LAC LA RONGE,-104.9716447,55.11384124,360
WRS283,LAC MALFAIT,-67.79,48.57695,333
WRS284,LAC MAUSER,-74.6194696,47.90825076,419
WRS285,LAC ST JEAN,-72.06260198,48.64487237,96
WRS286,WRS286,-63.22034568,55.33393916,470
WRS287,LAKE ALEX,-71.450989,49.265102,299
WRS288,LAKE ATHABASCA,-109.8770332,59.11606266,207
WRS289,LAKE DORE,-74.3763,49.86725,390
